,Date Created,Number of Likes,Tweets
21,2022-10-15 13:25:53+00:00,207,"abis kasus FS
ada penangkapan kasus narkoba kapolres yg sudah lama kasusnya tdk diproses
lalu penangkapan pelaku judi onlen 
ada peristiwa Kanjuruhan
lalu kapolda dan bbrp anggota terlibat jualan narkoba nyolong barang bukti

kesannya polisi sekarang hancur
padahal dah lama"
22,2022-10-15 13:00:02+00:00,2,Polisi Sebut 80 Orang Telah Diperiksa Sebagai Saksi Tragedi Kanjuruhan Malang https://t.co/jZsI7XM2JV
23,2022-10-15 12:57:15+00:00,0,"Pasca #TragediKanjuruhan  di #Kanjuruhan , #Polisi Tidak Akan Gunakan #GasAirMata dalam Amankan #Pertandingan
-----
https://t.co/JjMNlSlvyI"
24,2022-10-15 12:29:39+00:00,0,Polisi Sebut Korban Tewas Tragedi Kanjuruhan Mayoritas karena Gejala Asfiksia – Sportstars – https://t.co/1bw2rPGkNA – #Arenanews  - https://t.co/wPZOwI9c9y
25,2022-10-15 12:25:36+00:00,0,ini kalo bisa ditelusuri dan dicari tau misalnya ada korupsi beneran smpe dia berani begini dan malah dikasih penghargaan bakal balikin martabat polisi dimata rakyat sih yg udh terlanjur krisis kepercayaan sm polisi apalg pasca kanjuruhan https://t.co/YctUEquRif
26,2022-10-15 12:24:24+00:00,0,Polisi Sebut Korban Tewas Tragedi Kanjuruhan Mayoritas karena Gejala Asfiksia – Sportstars – https://t.co/Woian9Bn7X – #Arenanews https://t.co/Bt3IokwuXH
27,2022-10-15 12:13:22+00:00,0,Oknum TNI yang Lakukan Tendangan Kungfu jadi Tersangka Tragedi Kanjuruhan Pusat Polisi Militer TNI AD menetapkan anggota TNI berinisial Serda TBW sebagai tersangka Tragedi Kanjuruhan. Serda TBW ... https://t.co/QQNh5xqH6s
28,2022-10-15 12:03:33+00:00,0,"2 Korban Tragedi Kanjuruhan Akan Diekshumasi Polisi, Kadiv Humas Polri Ungkap Detailnya https://t.co/EuJ2qHBtKm https://t.co/Y50gJEGEbd"
29,2022-10-15 12:00:00+00:00,0,"Irjen Teddy Minahasa ialah Kapolda Sumatera Barat yang baru saja ditunjuk menjadi Kapolda Jawa Timur. Ia menggantikan posisi Irjen Nico Afinta buntut tragedi di Kanjuruhan. POT

#Polisi #PolisiTerlibatNarkoba #TeddyMinahasa #LintasiNewsPagi #MNCTVNews https://t.co/bTwJPnRPmF"
30,2022-10-15 11:58:41+00:00,0,"@jokowi Usut tuntas kanjuruhan yang memakan korban banyak..
Atau rakyat turun kejalan.
Percumah lapor polisi..!!!
Mendingan gak ada polisi sekalian."
31,2022-10-15 11:58:09+00:00,2,"Standar ganda buzzerp

Bela polisi soal tragedi Kanjuruhan tp bungkam pujian soal penangkapan bos judi online

Krn mrk tau makannya mereka dari uang"" judi tsb https://t.co/NVcZmAiHm3"
32,2022-10-15 11:56:10+00:00,1,@hipohan TV ONE SDH MULAI BANGKRUT CARI DUIT KE CUKONG2 KELOMPOK GENK POLISI RADIKALISME SESUNGGUHNYA ( KANJURUHAN SAMBO DLL ) CUKONG PRO ISLMOPHOBIA
33,2022-10-15 11:41:20+00:00,0,@DivHumas_Polri kok ga komentar soale video narasi ? Udah ada bukti . Mau dimana kemana kasus tragedi kanjuruhan ini ? Masih sibuk nanganin polisi kena narkoba ?
34,2022-10-15 11:40:35+00:00,0,"Pasca Tragedi di Kanjuruhan, Polisi Tidak Akan Gunakan Gas Air Mata dalam Amankan Pertandingan https://t.co/x1ZfBjzpji"
35,2022-10-15 11:32:01+00:00,0,"@03__nakula Sama dengan jika polisi tidak menembakkan gas air mata kira2 tragedi Kanjuruhan yang menewaskan 132 jiwa tersebut, terjadi apa tidak"
36,2022-10-15 11:10:35+00:00,0,@mohmahfudmd Beban berat perlu refreshing cuma sayang duit rakyat buat gaji pejabat ngga mungkin selesai urusan km50 kanjuruhan kisruh polisi…..miris menyengsengser ser seeeer
37,2022-10-15 11:05:23+00:00,3,"Orang pada bicara soal momentum perubahan Polisi waktu Ferdi Sambo. 

Bukan berikut ada Kanjuruhan. Berikutnya ada Teddy Minahasa. 

Momentumnya tegas terasa."
38,2022-10-15 11:01:45+00:00,2,"@Papi_C1AB Tragedi Kanjuruhan ini ga cuma salah pihak tertentu doang, tapi dari serangkaian kejadian dari semua pihak.. panpel ga profesional, fans ga dewasa yg kalo tim nya kalah ngamuk, polisi yg bertindak berlebihan, jadwal pertandingan yg dipaksakan dll..."
39,2022-10-15 10:59:32+00:00,0,@KompasTV Bahkan ada indikasi bahwa salah satu sebab terjadinya tragedi Kanjuruhan adalah kebencian masyarakat terhadap institusi ini. Bagaimana polisi yg awalnya tenang bisa secara emosional menembakkan gas air mata? Apakah karena teriakan kebencian massa?
40,2022-10-15 10:58:43+00:00,0,"@fahryadhi_s Beredar beberapa isu:
- Kamar isi mayat polisi
- Tragedi kanjuruhan settingan untuk pengalihan isu
- Jadi bekingan judi online &amp; narkoba

Sebesar itu powernya Sambo"
41,2022-10-15 10:32:23+00:00,0,Bagaimana Polisi Lalai Mengantisipasi Tragedi Kanjuruhan | Di Balik Beri... https://t.co/ruUdS5l9lS lewat @YouTube
42,2022-10-15 10:04:03+00:00,1,lucu bgt bocil abis ambil rapot keren nilainya A semua hebat😘 td kaka nanya kl di sekolah ngobrol apa? dia blg ngobrol kanjuruhan trs jelasin itu ada berantem gas air mata pak polisi WKWK grgr kl pagi nonton berita sama papi jdnya taunya begituan😭👍🏻 https://t.co/ywDb0JXYDv
43,2022-10-15 09:56:23+00:00,0,"@ho_jend @AloysiusCandra @GunRomli @wanda_hamidah @aniesbaswedan @AremafcOfficial Lah ngapain lu bilang seakan-akan kanjuruhan versi polisi itu bukti validnya CCTV ? Semua CCTV ? Goblok.

Gebukin pemain ? Ga nonton ""narasi"" ? Kalau mau komentar, minimal nyari data dulu. https://t.co/wMwjKKqQoU"
44,2022-10-15 09:43:07+00:00,3,10. Bahwa terdapat 32 CCTV dari 16 gate di Stadion Kanjuruhan yang merekam kejadian mematikan di sejumlah gate di tribun selatan. Artinya fakta-fakta yang terjadi telah terekam dalam CCTV yang saat ini telah berada dalam penguasaan polisi dan TGIPF.
45,2022-10-15 09:36:50+00:00,0,"Pasca Tragedi Kanjuruhan Malang, Polisi akhirnya memutuskan tidak akan kembali menggunakan gas air mata dalam rangka pengamanan pertandingan sebagai upaya perbaikan regulasi keselamatan dan keamanan.
https://t.co/rjsLx8j5EO https://t.co/fhsmvhfSVq"
46,2022-10-15 09:27:52+00:00,0,@hipohan Yang justru harus didatangi itu polisi. Membunuh ratusan rakyat di kanjuruhan. Belum termasuk pembantaian KM50 dll.
47,2022-10-15 09:24:19+00:00,0,Berita Bola Terkini Nova88 Indonesia Klik https://t.co/VsbRjz93WW : Dugaan Perwira Polisi Beri Komando Tembak Gas Air Mata dalam Tragedi Kanjuruhan https://t.co/BjnrKKyuGh https://t.co/4WNE5waaWs
48,2022-10-15 09:20:39+00:00,0,"@CNNIndonesia Kasus teddy, kasus kanjuruhan, kasus polisi maling dan banyak banget lainnya. Dibikin list aja gitu?"
49,2022-10-15 09:17:09+00:00,0,"15 Oktober 2022: Kok iso yo rek (Aremania) ?

TGIPF Sebut Polisi penembak gas air aata di Tragedi Kanjuruhan ternyata tak mendapatkan pembekalan soal pelanggaran penggunaan gas air mata..

au ah mau marah pokoknya.. 
https://t.co/pvbfrZZA61"
50,2022-10-15 09:07:03+00:00,0,5 Kisah Polisi Hoegeng yang Menggetarkan Hati https://t.co/G3wdzIFON5 #TakBerkategori #FerdiSambo #Hoegeng #Kanjuruhan #KapoldaJatim https://t.co/KDIS7woRTH
51,2022-10-15 09:06:02+00:00,0,Dugaan Perwira Polisi Beri Komando Tembak Gas Air Mata dalam Tragedi Kanjuruhan https://t.co/eoAWGT9WC3
